DeviceID,PeripheralID,Name,MotionType,PositionScale,VelocityScale,AccelerationScale,ForceScale,IsScaleResolutionDependent,
4151,0,T-LSR150A Slide,Linear,157480.315,16797.90026,13.99825,0,1,
4152,0,T-LSR150B Slide,Linear,31496.06299,3359.580052,2.79965,0,1,
4153,0,T-LSR150C Slide,Linear,15748.0315,1679.790026,1.399825,0,1,
4154,0,T-LSR150D Slide,Linear,7874.015748,839.895013,0.699913,0,1,
4301,0,T-LSR300A Slide,Linear,157480.315,16797.90026,13.99825,0,1,
4302,0,T-LSR300B Slide,Linear,31496.06299,3359.580052,2.79965,0,1,
4303,0,T-LSR300C Slide,Linear,15748.0315,1679.790026,1.399825,0,1,
4304,0,T-LSR300D Slide,Linear,7874.015748,839.895013,0.699913,0,1,
4451,0,T-LSR450A Slide,Linear,157480.315,16797.90026,13.99825,0,1,
4452,0,T-LSR450B Slide,Linear,31496.06299,3359.580052,2.79965,0,1,
4453,0,T-LSR450C Slide,Linear,15748.0315,1679.790026,1.399825,0,1,
4454,0,T-LSR450D Slide,Linear,7874.015748,839.895013,0.699913,0,1,
4601,0,T-LSR600A Slide,Linear,157480.315,16797.90026,13.99825,0,1,
4602,0,T-LSR600B Slide,Linear,31496.06299,3359.580052,2.79965,0,1,
4604,0,T-LSR600D Slide,Linear,7874.015748,839.895013,0.699913,0,1,
5081,0,T-NA08A25 Actuator,Linear,328083.9895,34995.62555,29.163021,0,1,
5082,0,T-NA08A50 Actuator,Linear,328083.9895,34995.62555,29.163021,0,1,
5083,0,T-NA08B25 Actuator,Linear,164041.9948,17497.81277,14.581511,0,1,
5084,0,T-NA08B50 Actuator,Linear,164041.9948,17497.81277,14.581511,0,1,
5085,0,T-NA08A25-S Actuator,Linear,328083.9895,34995.62555,29.163021,0,1,
5086,0,T-NA08A50-S Actuator,Linear,328083.9895,34995.62555,29.163021,0,1,
5091,0,T-NA08A25-SV2 Actuator,Linear,328083.9895,34995.62555,29.163021,0,1,
5092,0,T-NA08A50-SV2 Actuator,Linear,328083.9895,34995.62555,29.163021,0,1,
5095,0,T-NA08A25-SV1 Actuator,Linear,328083.9895,34995.62555,29.163021,0,1,
5096,0,T-NA08A50-SV1 Actuator,Linear,328083.9895,34995.62555,29.163021,0,1,
6110,0,T-LSM025A Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6111,0,T-LSM025A-S Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6112,0,T-LSM025A-SV2M04 Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6115,0,T-LSM025A-SV1 Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6116,0,T-LSM025A-SV2 Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6120,0,T-LSM025B Stage,Linear,82020.99738,8748.906387,7.290755,0,1,
6121,0,T-LSM025B-S Stage,Linear,82020.99738,8748.906387,7.290755,0,1,
6122,0,T-LSM025B-SV2M04 Stage,Linear,82020.99738,8748.906387,7.290755,0,1,
6125,0,T-LSM025B-SV1 Stage,Linear,82020.99738,8748.906387,7.290755,0,1,
6126,0,T-LSM025B-SV2 Stage,Linear,82020.99738,8748.906387,7.290755,0,1,
6210,0,T-LSM050A Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6211,0,T-LSM050A-S Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6212,0,T-LSM050A-SV2M04 Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6215,0,T-LSM050A-SV1 Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6216,0,T-LSM050A-SV2 Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6220,0,T-LSM050B Stage,Linear,82020.99738,8748.906387,7.290755,0,1,
6221,0,T-LSM050B-S Stage,Linear,82020.99738,8748.906387,7.290755,0,1,
